T	F0	E
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	-22.99
0.05	0	-16.49
0.06	0	-5.18
0.07	0	0.45
0.08	0	2.97
0.09	0	4.46
0.1	0	8.72
0.11	0	18.1
0.12	0	27.1
0.13	0	33.34
0.14	0	38.77
0.15	0	44.97
0.16	0	50.07
0.17	0	52.97
0.18	0	56.19
0.19	0	60.17
0.2	0	62.26
0.21	0	60.56
0.22	0	54.72
0.23	0	48.17
0.24	0	45.94
0.25	0	46.25
0.26	0	46.61
0.27	0	46.35
0.28	0	45.39
0.29	0	44.36
0.3	0	43.8
0.31	0	44.09
0.32	0	45.25
0.33	0	46.2
0.34	0	45.95
0.35	0	45.27
0.36	0	46.13
0.37	0	48.05
0.38	0	48.95
0.39	0	48.58
0.4	0	47.99
0.41	0	47.36
0.42	0	46.75
0.43	0	47.39
0.44	0	49
0.45	0	50.12
0.46	0	50.11
0.47	0	49.21
0.48	0	48.25
0.49	0	48.62
0.5	0	50.63
0.51	0	53.02
0.52	0	54.2
0.53	0	53.93
0.54	0	53.21
0.55	0	53.06
0.56	0	53.8
0.57	0	54.93
0.58	0	55.71
0.59	0	55.51
0.6	0	53.96
0.61	0	51.77
0.62	0	50.32
0.63	0	49.99
0.64	0	50.32
0.65	0	50.32
0.66	0	49.24
0.67	0	47.31
0.68	0	46.22
0.69	0	46.63
0.7	0	47.1
0.71	0	46.71
0.72	0	46.53
0.73	0	47.53
0.74	0	49
0.75	0	48.52
0.76	0	46.12
0.77	0	45.15
0.78	0	44.33
0.79	0	41.91
0.8	0	41.24
0.81	0	42.37
0.82	0	43.5
0.83	0	43.81
0.84	0	42.79
0.85	0	40.06
0.86	0	36.91
0.87	0	36.29
0.88	0	38.85
0.89	0	42.79
0.9	0	51.67
0.91	0	62.22
0.92	136.2	68.4
0.93	136.03	71.55
0.94	120.92	72.95
0.95	115.41	73.39
0.96	114.24	72.84
0.97	112.22	71.16
0.98	109.77	68.96
0.99	0	68.13
1	0	69.39
1.01	0	71.18
1.02	0	72.11
1.03	0	72.37
1.04	0	72.17
1.05	0	71.35
1.06	0	70.66
1.07	0	70.77
1.08	0	71.02
1.09	0	70.59
1.1	0	70.51
1.11	0	70.92
1.12	0	70.9
1.13	0	73.14
1.14	0	77.02
1.15	143.23	79.62
1.16	138.76	80.21
1.17	133.9	79.73
1.18	132.8	79.03
1.19	130.64	78.56
1.2	129.66	78.3
1.21	129.28	77.95
1.22	127.45	77.41
1.23	126.6	76.7
1.24	123.1	75.71
1.25	121.76	74.45
1.26	118.03	73.41
1.27	116.6	72.91
1.28	113.77	72.23
1.29	112.35	70.59
1.3	110.89	67.55
1.31	111.83	62.77
1.32	0	55.82
1.33	0	48.68
1.34	0	46.42
1.35	0	51.1
1.36	0	58.49
1.37	0	64.51
1.38	0	68.5
1.39	0	71.31
1.4	0	72.88
1.41	0	73.39
1.42	0	73.33
1.43	0	73.32
1.44	0	73.7
1.45	0	74.13
1.46	0	74.38
1.47	0	74.48
1.48	0	74.51
1.49	0	74.28
1.5	0	73.54
1.51	0	72.2
1.52	0	70.46
1.53	0	68.94
1.54	0	68.02
1.55	0	66.58
1.56	0	63.86
1.57	0	60.3
1.58	0	56.86
1.59	0	53.55
1.6	0	50.74
1.61	0	48.95
1.62	0	47.9
1.63	0	47.26
1.64	0	46.77
1.65	0	46.16
1.66	0	45.25
1.67	0	44.19
1.68	0	43.62
1.69	0	44.11
1.7	0	44.66
1.71	0	44.4
1.72	0	44.36
1.73	0	43.54
1.74	0	42.02
1.75	0	43.51
1.76	0	45.44
1.77	0	46.98
1.78	0	47.72
1.79	0	47.14
1.8	0	45.57
1.81	0	43.61
1.82	0	42.16
1.83	0	42.34
1.84	0	44.11
1.85	0	46.03
1.86	0	47.31
1.87	0	48.79
1.88	0	51.09
1.89	0	55.38
1.9	0	60.78
1.91	0	65
1.92	0	67.63
1.93	0	69.45
1.94	0	70.95
1.95	0	73.22
1.96	0	75.67
1.97	0	76.22
1.98	0	73.58
